from	to	type	weight	low	high
Rr	Rrq	edge	0.03805293829218202	NA	NA
Rr	Rrqk	edge	0.0380529382921818	NA	NA
Rrq	Rrr	edge	0.020689013797202505	NA	NA
Rrq	Rrqy	edge	0.01684040830568495	NA	NA
Rrr	Rrry	edge	0.015405588613884117	NA	NA
Rrr	admixla	edge	1.3233883725954985e-4	NA	NA
Rrry	FVY	edge	0.005881391761247971	NA	NA
Rrry	FVV	edge	1.5500166407984446e-19	NA	NA
Rrb	FCC	edge	0.043965889169887494	NA	NA
Rrb	admixha	edge	5.7123826177151426e-5	NA	NA
Rrqy	FVP	edge	1.883574385146873e-19	NA	NA
Rrqy	admixlb	edge	2.0491929466690995e-5	NA	NA
admixl	FVG	edge	2.569821592798514e-4	NA	NA
Rrqk	Rrqkx	edge	0.012653638498025671	NA	NA
Rrqk	admixhb	edge	0.0019191506115698186	NA	NA
admixh	FCP	edge	0.0026384805265547164	NA	NA
Rrqkx	Rrb	edge	0.030953582126276896	NA	NA
Rrqkx	FCL	edge	3.8728989535757706e-4	NA	NA
admixla	admixl	admix	0.7176160953064687	0.5407133242827016	0.7176160953064687
admixlb	admixl	admix	0.28238390469353125	0.28238390469353125	0.4592866757172984
admixha	admixh	admix	0.1471403206058157	0.1471403206058157	0.14730606360413853
admixhb	admixh	admix	0.8528596793941843	0.8526939363958614	0.8528596793941843
