from	to	type	weight	low	high
R	Rr	edge	0	NA	NA
Rr	Rrq	edge	0.03548073714342353	NA	NA
Rr	Rrqk	edge	0.03548073714342344	NA	NA
Rrq	Rrr	edge	0.03286635670581106	NA	NA
Rrq	Rrqy	edge	0.010558904113955454	NA	NA
Rrr	Rrry	edge	0.007550227925614097	NA	NA
Rrr	admixla	edge	3.4151426840409383e-4	NA	NA
Rrry	FVY	edge	0.006137775683149326	NA	NA
Rrry	admixa	edge	-1.9483248943836677e-24	NA	NA
Rrb	FCC	edge	0.040269783306665384	NA	NA
Rrb	admixha	edge	3.7796391079030476e-5	NA	NA
Rrqy	FVP	edge	0.004570029270366777	NA	NA
Rrqy	Rrqye	edge	0.006028475522046078	NA	NA
admixl	FVG	edge	0.0013320298148999522	NA	NA
Rrqk	Rrqkx	edge	0.010730293041986564	NA	NA
Rrqk	admixhb	edge	0.0014742042210329994	NA	NA
admixh	FCP	edge	0.0019841005984577277	NA	NA
Rrqkx	Rrb	edge	0.026774439688464102	NA	NA
Rrqkx	FCL	edge	0.001333155037742044	NA	NA
Rrqye	admixlb	edge	3.246079289458992e-4	NA	NA
Rrqye	admixb	edge	0	NA	NA
admix	FVV	edge	9.308453982721967e-21	NA	NA
admixla	admixl	admix	0.5063460817137548	0.5063460817137548	0.6772935617396344
admixlb	admixl	admix	0.49365391828624516	0.3227064382603656	0.49365391828624516
admixha	admixh	admix	0.13802041312044044	0.13266964371021417	0.1380270221108786
admixhb	admixh	admix	0.8619795868795596	0.8619729778891214	0.8673303562897858
admixa	admix	admix	0.9654089649992433	0.9654089649992433	0.969184269520829
admixb	admix	admix	0.034591035000756665	0.030815730479170966	0.034591035000756665
