from	to	type	weight	low	high
Rr	Rrq	edge	0.0363128567508261	NA	NA
Rr	Rrb	edge	0.03631285675082624	NA	NA
Rrl	FCL	edge	7.351952802289416e-4	NA	NA
Rrr	Rrry	edge	0.015420342762009891	NA	NA
Rrry	FVY	edge	0.0016012478671059973	NA	NA
Rrb	Rrl	edge	0.014286359419643102	NA	NA
Rrq	Rrqc	edge	0.014872168573567573	NA	NA
Rrqc	FVP	edge	0	NA	NA
Rrr	admix	admix	0.6000970248892843	0.5947426632374532	0.6023620884520499
admix	FVG	edge	0.0026697113182219713	NA	NA
Rrl	Rrlr	edge	0.018350004624824376	NA	NA
Rrb	admixd	admix	0.761696322875568	0.750224106393522	0.7673523089551362
admixd	FCP	edge	0.0033462579233295136	NA	NA
Rrlr	admixd	admix	0.238303677124432	0.23264769104486382	0.249775893606478
Rrq	Rrqe	edge	0.02534970423251104	NA	NA
Rrqe	Rrr	edge	0.0028421476261908623	NA	NA
Rrry	admixt	admix	0.6794224673744811	0.6086069178733429	0.9366121203892955
admixt	FVV	edge	0.0024448693612356843	NA	NA
Rrqe	admixt	admix	0.3205775326255189	0.06338787961070447	0.39139308212665713
Rrlr	Rrlri	edge	0.03182491429033665	NA	NA
Rrlri	FCC	edge	0.027352102671517803	NA	NA
Rrqc	admixm	admix	0.9623429609151369	0.961581336826926	0.9628555853955915
admixm	admix	admix	0.3999029751107157	0.39763791154795014	0.4052573367625468
Rrlri	admixm	admix	0.037657039084863064	0.03714441460440854	0.038418663173073964
