from	to	type	weight	low	high
R	Rr	edge	0	NA	NA
Rr	Rrq	edge	0.023372004167458837	NA	NA
Rrl	FCL	edge	0.0017845445707160795	NA	NA
Rrl	FCC	edge	0.0638554295951653	NA	NA
Rrr	FVG	edge	-2.241898008572581e-19	NA	NA
Rrr	Rrry	edge	0.014594807579534621	NA	NA
Rrry	FVY	edge	0.005946834280743897	NA	NA
Rrry	FVV	edge	0	NA	NA
Rrq	FVP	edge	0.01495362513576259	NA	NA
Rrq	Rrr	edge	0.005860218487132365	NA	NA
Rr	Rrb	edge	0.0233720041680098	NA	NA
Rrb	Rrl	edge	0.007396806870477761	NA	NA
admix	FCP	edge	0.0021018705110838164	NA	NA
Rrb	admix	edge	0.0021018705110831754	NA	NA
