Long,Lat,Subspecies,Ind
-124.01477,44.97967,FCP,FAM27_PI551446
-81.5158,27.6648,FVY,FAM20_PI612570
-84.6914,38.7531,FVY,FAM25_PI616574
-90.44,47.73028,FVV,FAM57_PI612499
-85.60833,32.875,FVV,FAM41_PI616800
-88.53917,33.85528,FVY,FAM38_PI612569
-86.99444,32.23139,FVV,FAM42_PI616815
-88.53917,33.85528,FVY,FAM39_PI616720
-119.9656,38.6982,FVG,FAM10_PI551748
-73.1845,44.3006,FVV,FAM13_PI552277
-124.03333,44.66667,FCP,FAM67_PI551765
-71.36667,-38.45,FCC,FAM32_PI552058
-124.24877,41.77667,FCL,FAM56_PI551448
-110.69444,46.84111,FVV,FAM31_PI612495
-71.7,-44.65,FCC,FAM48_PI602575
-124.01477,44.97967,FCL,FAM26_PI551468
-86.25,36.66667,FVV,FAM24_PI616568
-125.5,48.75,FCP,FAM23_PI616652
-123.83333,39.25,FCL,FAM7_PI551729
-71.81667,-43.61667,FCC,FAM45_PI602569
-145.73333,64.03333,FVG,FAM58_PI612496
-73.561668,45.508888,FVG,FAM34_PI616675
-87.99556,32.73194,FVV,FAM43_PI612323
-71.7,-44.65,FCC,FAM2_PI612317
-117.16667,52.21667,FVG,FAM59_PI612500
-73.71667,-42.61667,FCC,FAM19_PI552038
-82.41028,34.08972,FVV,FAM37_PI616691
-122.35944,37.14972,FCP,FAM60_PI612490
-124.75,47.83333,FCP,FAM33_PI551458
-77.23917,34.94139,FVV,FAM44_PI612325
-88.57139,34.0075,FVY,FAM49_PI612486
-109.5,45,FVG,FAM46_PI551876
-111.50028,41.10639,FVG,FAM5_PI612491
-73.9,-42.68333,FCC,FAM52_PI616529
-156.3289,20.67583,FCS,FAM55_PI616934
-72.65,-37.73333,FCC,FAM47_PI552082
-73.73333,-41.75,FCC,FAM53_PI616534
-76.58528,36.03722,FVV,FAM40_PI616902
-84.65,47.23333,FVV,FAM50_PI612497
-103.65667,44.55278,FVG,FAM30_PI612494
-114.19056,46.745,FVG,FAM29_PI612501
-109.83333,45,FVG,FAM28_PI551877
-127.6476,53.7267,FCP,FAM11_PI612488
-72.58333,-47.26667,FCC,FAM14_PI616531
-81.13333,49.06667,FVV,FAM17_PI612493
-121.089,47.7448,FVP,FAM62_15X001P001
-119.4179,36.7783,FVV,FAM65_PI551497
-78.63333,-1.28333,FCC,FAM3_PI616766
-145.86139,60.5025,FCP,FAM18_PI616770
-72.45,-43.18333,FCC,FAM51_PI616517
-73.561668,45.508888,FVV,FAM35_PI616676
-82.9001,32.1656,FVY,FAM21_PI612320
-118.61667,44.25,FVP,FAM63_PI616601
-124.16667,41,FCL,FAM8_PI551731
-84.6914,38.7531,FVY,FAM54_PI616561
-71.73333,-36.8,FCC,FAM64_PI552092
-123.96,41.74,FCL,FAM16_PI551753
-71.85,-43.18333,FCC,FAM1_PI616554
-123.83333,39.25,FCL,FAM6_PI551727
-127.6476,53.7267,FCP,FAM12_PI612487
-124.12344,46.88746,FCL,FAM66_PI551453
