Sample,Subspecies
PI616554,FCC
PI612317,FCG
PI616766,FCC
PI551736,FCC
PI612491,FVG
PI551727,FCL
PI551729,FCL
PI551731,FCL
PI551735,FCP
PI551748,FVG
PI612488,FCP
PI612487,FCP
PI552277,FVV
PI616531,FCG
PI236579,FCG
PI551753,FCL
PI612493,FVV
PI616770,FCP
PI552038,FCC
PI612570,FVY
PI612320,FVY
PI616778,???
PI616652,FCP
PI616568,FVV
PI616574,FVY
PI551468,FCL
PI551446,FCP
PI551877,FVG
PI612501,FVG
PI612494,FVG
PI612495,FVV
PI552058,FCG
PI551458,FCP
PI616675,FVG
PI616676,FVV
PI551951,???
PI616691,FVV
PI612569,FVY
PI616720,FVY
PI616902,FVV
PI616800,FVV
PI616815,FVV
PI612323,FVV
PI612325,FVV
PI602569,FCG
PI551876,FVG
PI552082,FCG
PI602575,FCG
PI612486,FVY
PI612497,FVV
PI616517,FCG
PI616529,FCG
PI616534,FCG
PI616561,FVY
PI616934,FCS
PI551448,FCL
PI612499,FVV
PI612496,FVG
PI612500,FVG
PI612490,FCP
PI616777,???
15X001P001,FVP
PI616601,FVP
PI552092,FCG
PI551497,FVV
PI551453,FCL
PI551765,FCP
Rubus_out,Rubus occ
